Date,Location,Series_Complete_Cumulative
11/10/2021,CA,24610133
08/22/2021,FL,11276906
12/06/2021,FL,13360379
05/27/2021,FM,20455
06/08/2021,US,149741136
03/13/2021,MT,167910
04/24/2021,MH,13020
11/27/2021,MO,3139145
12/25/2020,AL,72
12/14/2020,UT,294
08/29/2021,NH,828990
08/16/2021,NJ,5403892
01/17/2021,ND,7786
10/11/2021,MI,5305338
01/11/2021,IA,8432
03/16/2021,NH,176439
07/12/2021,KS,1323010
12/13/2020,RI,1
02/01/2021,OR,104321
05/24/2021,ME,745002
06/15/2021,NE,913157
02/04/2021,TN,262701
02/04/2021,RI,38161
07/19/2021,MH,17305
08/30/2021,VT,433753
09/14/2021,KY,2123373
03/09/2021,TX,2981604
10/24/2021,CT,2518979
11/22/2021,MH,22019
09/28/2021,PR,2314930
11/07/2021,RP,15707
05/01/2021,MT,381212
12/12/2021,MI,5587025
02/25/2021,RP,3095
07/13/2021,MD,3519272
08/09/2021,IA,1606066
02/09/2021,IA,131147
02/25/2021,VI,8636
02/24/2021,AK,106723
03/08/2021,WA,911647
05/20/2021,TN,2323007
02/22/2021,KY,334538
09/12/2021,CO,3395491
12/26/2020,NJ,282
10/09/2021,GA,4919325
10/31/2021,AK,390253
10/08/2021,CT,2490017
11/28/2021,NE,1112662
11/21/2021,ID,806870
05/23/2021,OK,1429040
07/26/2021,LA,1750534
03/10/2021,KS,343243
01/29/2021,VT,21762
12/07/2021,AZ,4053342
01/06/2021,NE,5508
03/12/2021,NH,164671
11/06/2021,MS,1384949
08/21/2021,OK,1722393
10/24/2021,WI,3401716
11/15/2021,MS,1393630
10/23/2021,NV,1626418
06/25/2021,GU,91927
02/16/2021,OR,239590
09/13/2021,WA,4584283
07/30/2021,MA,4437452
02/08/2021,ND,44039
10/08/2021,ND,365940
12/13/2020,OH,5
06/17/2021,MO,2438455
08/29/2021,OR,2476087
12/04/2021,HI,876187
02/27/2021,AR,272568
03/13/2021,AR,355013
03/10/2021,MD,753641
02/16/2021,MN,321706
10/28/2021,CO,3569351
12/27/2020,US,16379
09/03/2021,NE,1029747
01/12/2021,MN,31878
02/11/2021,AZ,300569
04/24/2021,WY,164194
05/12/2021,GA,3200236
10/12/2021,DE,577449
11/01/2021,ME,956751
01/30/2021,OR,92471
08/03/2021,TX,13077933
06/26/2021,NH,780104
11/05/2021,PA,7365664
01/04/2021,RP,0
11/19/2021,MT,553769
06/13/2021,AZ,3093942
02/01/2021,MA,161611
04/18/2021,HI,476744
07/27/2021,KY,1925175
03/24/2021,PA,2089695
01/31/2021,TX,644961
05/06/2021,NV,1001199
07/15/2021,NH,797760
08/28/2021,AK,360699
10/23/2021,MT,540767
07/22/2021,AS,23135
01/11/2021,MI,39658
05/04/2021,MH,13579
02/19/2021,FL,1715520
06/09/2021,AZ,3044348
07/12/2021,SD,409029
03/22/2021,SC,718193
06/26/2021,AL,1643122
08/19/2021,NJ,5432392
04/01/2021,PA,2533832
10/23/2021,AR,1454790
08/20/2021,IA,1631040
07/21/2021,NY,11202181
11/11/2021,AL,2241446
12/19/2020,NE,123
01/12/2021,NM,24759
03/23/2021,MN,1005708
05/13/2021,ND,284093
04/11/2021,KS,755523
10/03/2021,CT,2478428
07/08/2021,ID,667513
07/03/2021,MN,3097112
09/15/2021,NE,1048415
03/17/2021,CT,588919
04/19/2021,MN,1831333
07/25/2021,ME,868367
08/01/2021,MN,3179970
04/13/2021,MT,300309
12/20/2020,NH,1
03/13/2021,SD,144240
04/29/2021,TX,8609259
05/28/2021,OK,1451061
07/21/2021,KY,1912954
08/30/2021,AR,1305928
12/12/2021,DC,468030
02/12/2021,MD,299522
05/09/2021,MN,2391417
06/24/2021,IA,1533236
07/30/2021,WI,3067370
09/06/2021,MO,2872997
10/11/2021,TN,3244624
09/30/2021,MP,34151
12/21/2020,MS,135
03/23/2021,CA,6279449
09/27/2021,AS,28447
