Date,Location,Series_Complete_Cumulative
03/11/2021,MO,680259
02/02/2021,KY,118762
08/04/2021,AS,24228
05/03/2021,WV,917550
07/25/2021,WV,1078788
12/03/2021,UT,1829449
10/07/2021,ID,766204
01/10/2021,FL,61371
01/24/2021,MI,132969
08/24/2021,FL,11357807
11/09/2021,GU,123094
02/06/2021,OK,213550
01/02/2021,MA,190
09/11/2021,MP,33364
04/18/2021,TX,7273836
06/12/2021,AS,20417
09/07/2021,IA,1673676
10/29/2021,IA,1763541
11/28/2021,ID,810065
02/09/2021,DE,31047
12/15/2020,AS,0
12/29/2020,AZ,790
05/08/2021,TN,2164114
03/15/2021,WI,837977
12/29/2020,MI,582
01/30/2021,VA,160449
11/05/2021,IL,7737967
05/01/2021,ND,269063
11/23/2021,AR,1491775
03/31/2021,GA,1351705
04/10/2021,VT,188586
09/07/2021,NJ,5601784
02/09/2021,MT,52031
04/01/2021,PR,698772
11/28/2021,FL,13218696
08/25/2021,GU,105563
07/23/2021,MS,1048326
04/27/2021,NJ,3189098
08/31/2021,IN,3154303
11/01/2021,VI,51128
12/09/2021,RI,792631
06/30/2021,NE,940149
11/29/2021,AK,398960
07/08/2021,VI,38295
09/03/2021,ID,718157
03/12/2021,MT,166444
09/08/2021,MA,4615532
01/27/2021,US,5877656
07/09/2021,OH,5402342
12/31/2020,IL,1294
01/30/2021,GA,136367
08/20/2021,AS,25389
09/19/2021,IA,1701737
12/03/2021,NV,1695286
07/09/2021,OR,2341816
09/28/2021,AR,1411986
02/19/2021,CT,297188
02/23/2021,MI,810645
10/16/2021,PR,2346614
10/02/2021,US,186990820
01/27/2021,AL,54547
11/10/2021,OH,6152755
07/15/2021,OK,1599663
10/29/2021,MT,544285
03/28/2021,AL,684491
05/02/2021,MI,3475609
02/20/2021,MS,160635
04/29/2021,SD,334896
05/10/2021,NJ,3819247
10/15/2021,ME,944958
11/24/2021,WI,3464367
06/20/2021,ID,652287
01/23/2021,AK,19810
12/26/2020,OK,87
04/15/2021,MS,699447
07/06/2021,OK,1578310
12/11/2021,MN,3632556
03/08/2021,VI,11236
12/14/2020,GA,512
01/16/2021,AZ,41134
02/04/2021,DC,16648
06/24/2021,SC,2000506
09/01/2021,FM,35041
06/19/2021,IN,2824848
10/15/2021,OK,1965099
11/11/2021,NM,1322327
08/05/2021,NJ,5323005
08/28/2021,UT,1558488
05/27/2021,KS,1198934
01/25/2021,NJ,108080
10/13/2021,AK,384246
09/05/2021,WV,1123860
05/01/2021,FL,6963690
04/14/2021,CO,1492963
03/03/2021,NH,118255
10/06/2021,MA,4730437
05/30/2021,KY,1701938
02/03/2021,SD,43515
08/28/2021,OK,1763183
05/13/2021,CO,2459634
02/26/2021,CT,362999
07/05/2021,DE,507291
02/08/2021,TX,1100377
08/16/2021,VT,429914
01/24/2021,MT,18292
11/27/2021,CA,24982521
06/11/2021,MP,24254
11/03/2021,MI,5383615
04/12/2021,SC,1158297
07/24/2021,GA,4038183
08/02/2021,MD,3606273
11/27/2021,VA,5553802
06/18/2021,SD,397502
04/17/2021,KS,855831
01/23/2021,ME,21923
03/31/2021,MI,1900935
02/09/2021,VT,35426
03/06/2021,MO,599867
03/21/2021,GA,1129910
05/24/2021,NC,4121765
10/05/2021,MS,1335967
02/06/2021,IA,118413
04/17/2021,AL,1022991
08/08/2021,VA,4839224
04/11/2021,CA,9864720
03/04/2021,NH,122085
07/24/2021,MI,4901523
03/20/2021,UT,430729
10/05/2021,IN,3305260
03/11/2021,RP,3144
06/23/2021,RI,635581
12/12/2021,WV,1279717
05/06/2021,MA,2946604
08/26/2021,OR,2466729
03/17/2021,WA,1127890
01/06/2021,FL,25953
01/12/2021,IN,43277
08/18/2021,NH,820445
04/28/2021,GU,61990
09/10/2021,PR,2246351
04/20/2021,LA,1241653
05/30/2021,SD,380039
05/07/2021,TX,9538079
07/03/2021,WY,211730
08/10/2021,RP,13636
04/25/2021,TN,1839344
12/24/2020,VT,20
11/11/2021,AK,393892
07/20/2021,DC,402134
09/29/2021,NV,1576155
10/28/2021,NY,13078865
03/09/2021,US,37964257
07/20/2021,NH,801357
11/30/2021,ME,978458
03/05/2021,GA,843095
02/06/2021,ID,48832
07/17/2021,VI,38985
10/20/2021,PA,7251033
01/01/2021,FM,0
02/22/2021,IL,753524
02/01/2021,CO,163571
11/20/2021,CA,24842198
01/24/2021,ND,16026
02/25/2021,CA,2957272
10/08/2021,MI,5296062
05/02/2021,VI,29066
08/26/2021,PR,2165521
08/02/2021,AS,24053
11/29/2021,CO,3660432
02/13/2021,AL,165837
06/02/2021,OH,4896979
01/22/2021,OH,97838
01/30/2021,AR,72498
03/24/2021,MO,918000
08/09/2021,DC,409951
10/09/2021,CA,23812555
09/08/2021,ND,346010
04/16/2021,RI,352539
06/04/2021,ME,784724
07/06/2021,PR,1984729
01/21/2021,UT,27256
07/28/2021,OR,2389524
03/29/2021,MH,9664
05/30/2021,AL,1523183
11/04/2021,MT,546974
05/18/2021,IN,2446261
04/12/2021,MP,14226
09/21/2021,TN,3115366
05/20/2021,KS,1174029
10/08/2021,CA,23792375
10/24/2021,SD,468704
11/30/2021,CT,2577196
11/01/2021,HI,850544
07/09/2021,NV,1334032
04/02/2021,FL,4102229
12/02/2021,CO,3681378
06/04/2021,VT,382599
03/25/2021,UT,480404
02/24/2021,LA,388977
03/05/2021,VI,11046
07/14/2021,NY,11086348
06/24/2021,AS,21259
07/19/2021,NE,960516
08/10/2021,MO,2684265
05/09/2021,FL,7718169
12/07/2021,SC,2685550
06/08/2021,FL,9404308
08/04/2021,MP,29978
04/18/2021,GU,52820
04/19/2021,NV,798099
05/07/2021,MH,13709
03/20/2021,VT,105542
07/05/2021,KS,1311028
09/09/2021,MD,3802784
05/06/2021,OK,1341511
09/12/2021,SD,444708
04/19/2021,RP,7987
03/29/2021,MN,1173447
04/25/2021,OK,1232664
07/23/2021,NV,1364802
03/25/2021,MO,959330
10/10/2021,UT,1700831
12/21/2020,CA,1366
06/27/2021,MD,3428573
04/08/2021,FL,4724754
06/04/2021,MO,2334776
01/10/2021,WA,27148
12/26/2020,AZ,486
04/25/2021,MD,2048720
07/25/2021,SD,414394
05/22/2021,NE,848927
12/25/2020,WY,33
04/19/2021,MA,2169749
12/30/2020,IL,1215
01/06/2021,MS,2661
01/19/2021,CA,373265
01/03/2021,NV,63
12/12/2021,PR,2413182
07/20/2021,MT,478817
02/25/2021,KS,235950
12/15/2020,MA,0
02/03/2021,NH,46447
05/13/2021,DC,321034
10/06/2021,WV,1175450
04/09/2021,RI,319054
07/03/2021,AS,21953
06/02/2021,MN,2831914
10/17/2021,VA,5361738
01/05/2021,NY,9905
02/09/2021,MI,450165
05/11/2021,GU,70676
01/02/2021,GA,1491
06/25/2021,MO,2478293
07/02/2021,MS,1014404
10/21/2021,OR,2655307
02/12/2021,RP,1130
09/28/2021,VA,5241003
07/30/2021,ID,681815
02/20/2021,WA,512469
03/08/2021,DC,73002
07/19/2021,NY,11165560
04/05/2021,VA,1852318
09/11/2021,MS,1253029
12/14/2021,WA,5094766
06/09/2021,LA,1605196
07/07/2021,CT,2227852
01/30/2021,NE,59161
09/03/2021,TX,14192284
08/11/2021,VT,428792
10/30/2021,VI,51111
10/22/2021,ID,783441
11/27/2021,UT,1797327
06/28/2021,ME,848142
07/07/2021,GA,3918675
08/07/2021,DC,409375
01/02/2021,TX,4147
08/31/2021,CT,2385752
03/02/2021,CA,3513888
02/23/2021,MP,7098
03/21/2021,WI,970253
09/02/2021,UT,1576745
04/12/2021,AK,245552
04/30/2021,MS,830384
10/05/2021,CT,2482906
07/30/2021,LA,1766069
11/12/2021,KS,1578679
12/13/2021,NH,899913
05/12/2021,VI,31241
01/13/2021,MH,4
06/06/2021,CT,2055442
11/26/2021,KY,2337762
01/04/2021,NJ,1335
07/14/2021,PA,6469683
10/27/2021,VA,5415640
06/15/2021,AR,1055798
01/23/2021,OH,102496
08/25/2021,NJ,5486784
08/29/2021,VA,5002132
01/21/2021,NC,92857
03/15/2021,TN,759415
08/07/2021,WY,221240
06/21/2021,VA,4499266
10/12/2021,MA,4751930
04/08/2021,HI,400040
06/07/2021,GU,83456
12/06/2021,VA,5663457
07/30/2021,RI,667536
05/03/2021,NM,854038
08/18/2021,WV,1100073
02/21/2021,AK,100078
03/11/2021,US,40612261
06/09/2021,NV,1230401
04/27/2021,MT,362768
05/04/2021,WI,2309568
11/23/2021,MO,3131766
03/03/2021,LA,474452
08/16/2021,DC,412876
01/15/2021,CA,304233
02/09/2021,KY,205218
08/10/2021,MI,4973184
04/21/2021,CT,1277117
04/23/2021,MA,2364878
07/27/2021,SD,415326
09/13/2021,NV,1531580
01/08/2021,HI,4954
01/11/2021,FM,17
03/03/2021,RP,3137
05/14/2021,CO,2487225
07/10/2021,ND,320140
07/18/2021,MI,4872320
11/19/2021,DE,598498
06/01/2021,AR,1010723
10/21/2021,VA,5384693
02/16/2021,VI,6162
08/16/2021,NC,4897470
07/16/2021,OH,5440584
10/31/2021,LA,2232987
01/22/2021,FM,44
03/08/2021,RI,107867
12/12/2021,LA,2306911
11/11/2021,ND,380352
12/14/2021,NY,13743947
01/31/2021,NH,38837
08/06/2021,WA,4354084
11/17/2021,AR,1485425
05/26/2021,WI,2700459
06/23/2021,ME,841751
08/24/2021,OH,5666346
12/13/2021,MH,22435
07/09/2021,AL,1676876
04/29/2021,WY,171811
07/21/2021,ND,323842
08/01/2021,DC,406829
08/09/2021,AZ,3444481
10/18/2021,GA,4987137
12/27/2020,PA,92
08/01/2021,UT,1471290
11/04/2021,IL,7731535
12/04/2021,OR,2738559
04/30/2021,LA,1377802
12/18/2020,WY,12
07/24/2021,TN,2708468
11/30/2021,KY,2348392
08/14/2021,AK,353939
11/07/2021,PA,7372642
06/27/2021,TN,2602533
03/11/2021,NJ,1109392
06/18/2021,RI,628591
10/18/2021,RI,748397
03/30/2021,MI,1840198
04/08/2021,NY,5082507
10/13/2021,WY,251950
04/04/2021,AS,13940
04/14/2021,NC,2840401
04/28/2021,WA,2576487
09/15/2021,FL,12124674
02/08/2021,FM,291
08/07/2021,VT,427827
09/21/2021,PR,2291799
10/24/2021,TN,3297434
10/13/2021,GA,4950529
04/01/2021,NM,557581
05/02/2021,RI,433279
12/30/2020,CT,405
11/10/2021,AR,1477834
06/30/2021,NJ,5048905
08/23/2021,CO,3298674
10/05/2021,LA,2169962
09/03/2021,RI,703910
12/22/2020,MI,366
02/07/2021,MH,616
09/19/2021,VT,438836
02/06/2021,GA,245846
10/31/2021,MP,34890
12/14/2020,SD,2
11/04/2021,HI,852495
07/06/2021,RI,648019
02/23/2021,CT,325686
05/16/2021,NC,3974168
07/11/2021,TN,2657863
09/20/2021,IA,1703677
04/27/2021,TN,1896778
07/16/2021,MH,17193
01/02/2021,AK,136
07/21/2021,LA,1738198
09/14/2021,SD,446411
03/25/2021,MN,1081634
05/30/2021,TN,2404054
06/15/2021,FL,9715917
02/27/2021,KY,413079
12/14/2021,MP,38202
12/29/2020,AR,201
05/28/2021,UT,1245142
07/10/2021,MD,3505937
09/01/2021,WV,1118715
10/23/2021,FL,12855866
03/28/2021,AS,13227
03/09/2021,AR,329057
11/22/2021,MI,5446314
01/13/2021,WY,3666
10/04/2021,RI,737548
12/10/2021,IA,1832773
09/01/2021,MA,4586879
06/07/2021,ID,630901
10/07/2021,NY,12732191
04/01/2021,VT,145614
07/01/2021,LA,1687710
09/07/2021,OR,2507689
04/04/2021,GU,36239
09/06/2021,VI,46295
11/27/2021,WA,4965060
04/10/2021,MP,14059
12/11/2021,MA,5056205
05/02/2021,TN,2022427
03/12/2021,WI,796441
10/20/2021,OK,1973950
12/15/2021,MA,5066318
06/30/2021,CA,20279526
02/20/2021,WI,400728
11/24/2021,MP,35585
07/28/2021,ID,680134
11/14/2021,NE,1103678
11/16/2021,NC,5674386
02/15/2021,OR,229292
03/24/2021,WV,514708
04/05/2021,AK,216396
01/09/2021,CO,38365
06/15/2021,HI,722037
01/03/2021,CA,2433
11/06/2021,MA,4839269
05/08/2021,IA,1263309
02/19/2021,TX,1592453
02/25/2021,ND,80024
11/05/2021,KS,1570258
06/24/2021,MP,26014
07/11/2021,CO,3120979
06/20/2021,VA,4489980
03/21/2021,FM,9018
08/10/2021,US,169525238
08/28/2021,FM,34632
11/19/2021,KS,1587648
04/16/2021,GA,2100125
08/13/2021,IN,3062159
07/21/2021,WA,4277679
04/12/2021,HI,430636
12/10/2021,MT,566603
10/19/2021,GU,120873
01/28/2021,MS,31279
10/29/2021,RP,15677
05/21/2021,UT,1199363
06/25/2021,DC,389581
07/17/2021,MD,3540034
02/07/2021,IN,248852
06/17/2021,RP,12530
06/09/2021,MO,2382037
03/09/2021,DE,121818
07/10/2021,WI,3007059
10/25/2021,WY,255895
03/23/2021,OK,688556
07/06/2021,VT,419817
03/19/2021,SD,170170
03/26/2021,HI,294805
11/19/2021,MH,22013
02/25/2021,CT,350904
08/08/2021,DE,530042
10/26/2021,UT,1737096
10/10/2021,LA,2184276
11/17/2021,OH,6182170
05/30/2021,MD,3045384
11/23/2021,VA,5538381
05/10/2021,MP,20044
11/11/2021,RI,761860
03/31/2021,FM,10046
10/28/2021,MH,20572
12/26/2020,DC,144
01/08/2021,AL,8620
02/12/2021,IA,151810
12/27/2020,MT,121
10/07/2021,MT,531930
02/27/2021,MS,235603
04/19/2021,IL,3855542
12/22/2020,MN,219
09/26/2021,FL,12412848
03/03/2021,DC,63243
04/02/2021,MP,12490
05/20/2021,HI,665041
03/01/2021,ID,151854
10/12/2021,IA,1740785
04/12/2021,DE,256124
06/15/2021,RI,621664
02/05/2021,WI,186908
07/13/2021,IN,2944268
01/07/2021,NY,29414
04/16/2021,MN,1786185
04/30/2021,NV,933744
05/09/2021,VA,3432317
10/09/2021,MD,3937907
05/31/2021,DE,449890
09/10/2021,MA,4625359
11/02/2021,GA,5100950
11/13/2021,AR,1481277
02/27/2021,WI,552599
06/16/2021,OH,5191625
09/26/2021,CO,3455323
07/03/2021,DC,394109
01/25/2021,LA,57193
04/23/2021,OK,1220534
04/02/2021,DC,137191
02/02/2021,US,8535646
12/16/2020,WV,31
05/29/2021,MS,936329
11/19/2021,MA,4881747
04/02/2021,GA,1436207
03/28/2021,TX,4463641
11/08/2021,MP,35064
09/16/2021,IN,3227201
11/23/2021,AK,397045
06/16/2021,MS,982955
11/06/2021,MT,547846
05/24/2021,VT,348745
11/11/2021,WI,3440370
03/01/2021,PA,1067133
07/07/2021,AR,1101525
02/28/2021,SD,101577
01/14/2021,KY,21234
10/08/2021,WV,1180846
12/20/2020,RI,3
10/23/2021,FM,40634
06/09/2021,GA,3643309
05/15/2021,MO,2181485
04/23/2021,VI,27127
10/02/2021,PA,7129522
12/09/2021,SD,494545
04/09/2021,MP,13626
08/31/2021,OH,5720816
12/21/2020,KY,89
04/20/2021,WV,825032
08/08/2021,WI,3090326
09/19/2021,IL,7403157
07/26/2021,FL,10621662
12/24/2020,PA,87
01/09/2021,ID,6218
02/22/2021,HI,133297
01/09/2021,NH,4001
01/17/2021,AZ,42619
04/08/2021,IA,799221
08/05/2021,MP,30129
12/14/2021,MS,1422417
04/21/2021,VA,2641186
09/13/2021,DC,426188
10/29/2021,MN,3472983
11/08/2021,TN,3345650
03/29/2021,PR,628244
02/19/2021,NH,90498
07/16/2021,AS,22817
12/30/2020,PA,140
04/21/2021,NM,752866
05/16/2021,RP,9140
02/22/2021,MO,396133
09/20/2021,NM,1262837
12/16/2020,GA,519
05/26/2021,AK,306699
09/05/2021,MP,32989
11/27/2021,US,196513791
08/13/2021,DE,534063
09/21/2021,ID,743824
02/27/2021,UT,261728
07/10/2021,AL,1678589
07/28/2021,PA,6564767
12/23/2020,AZ,403
10/25/2021,NY,13029999
07/17/2021,VA,4715157
06/19/2021,HI,731953
06/24/2021,SD,400848
03/22/2021,WV,493472
01/08/2021,PR,31529
11/24/2021,FL,13179755
12/08/2021,NC,5817280
07/22/2021,VA,4745141
11/30/2021,AZ,4007042
07/06/2021,ID,665578
01/26/2021,FM,50
09/09/2021,VI,47096
10/04/2021,OR,2613684
08/01/2021,MI,4932069
08/23/2021,AL,1851816
04/03/2021,PA,2645710
08/07/2021,AR,1176618
03/09/2021,IN,798068
04/03/2021,IA,719120
01/26/2021,OH,153061
05/03/2021,GU,65631
08/12/2021,NV,1419505
09/07/2021,MH,19429
10/05/2021,CO,3492143
12/23/2020,ID,80
01/01/2021,AZ,1308
01/10/2021,CA,139918
04/12/2021,OK,1056457
04/25/2021,IL,4256927
12/03/2021,AK,402413
07/19/2021,ID,674204
04/23/2021,MS,777558
07/01/2021,MI,4785787
07/20/2021,UT,1443600
07/08/2021,TX,12531378
07/17/2021,AK,344037
02/24/2021,MO,435785
09/05/2021,FM,35380
03/26/2021,MH,9133
08/31/2021,CA,22442789
09/08/2021,HI,803402
10/16/2021,NE,1084196
08/07/2021,NH,812429
10/13/2021,KY,2252435
05/16/2021,AZ,2730571
02/20/2021,AS,9212
08/25/2021,DE,543730
07/08/2021,MD,3494120
05/20/2021,AR,976806
01/09/2021,PA,34714
12/27/2020,OR,14
05/13/2021,AS,18450
08/20/2021,IL,7099616
05/20/2021,MS,912401
12/11/2021,US,201005180
06/30/2021,TX,12346011
11/11/2021,DC,451514
05/30/2021,FL,8996318
10/17/2021,WY,253266
05/02/2021,SC,1557691
07/07/2021,SC,2044652
11/27/2021,AL,2267618
03/22/2021,AL,630049
11/03/2021,DC,448548
07/05/2021,MD,3473615
04/14/2021,DE,266717
08/09/2021,IL,6979187
07/09/2021,PR,2002922
12/12/2021,NH,899264
10/28/2021,VT,448028
11/30/2021,VI,52412
06/20/2021,AR,1068761
09/05/2021,NE,1031974
12/27/2020,IL,792
01/03/2021,NE,668
03/29/2021,LA,840803
05/28/2021,WI,2724588
01/06/2021,AZ,4463
08/14/2021,AL,1787450
02/02/2021,MA,172660
03/18/2021,ME,224576
06/10/2021,MI,4560234
04/16/2021,CA,10902964
09/22/2021,WV,1148884
01/12/2021,AR,25220
08/21/2021,ID,701348
04/03/2021,WI,1328894
08/12/2021,NJ,5374101
06/08/2021,WY,201027
06/22/2021,NC,4519915
10/16/2021,AZ,3840215
07/16/2021,DC,400553
10/21/2021,MH,20453
11/23/2021,ND,384182
07/17/2021,MH,17249
08/05/2021,WY,220688
06/18/2021,NM,1100700
05/25/2021,VI,33153
10/07/2021,NM,1288790
05/12/2021,FL,8000137
05/29/2021,WI,2728103
09/22/2021,MO,2961949
04/12/2021,MN,1637702
02/25/2021,TX,2121351
07/09/2021,WV,1066149
10/25/2021,MN,3462463
06/04/2021,WY,199003
08/11/2021,GA,4155396
11/02/2021,OH,6116793
12/14/2021,KY,2390901
10/31/2021,MT,544557
07/11/2021,OH,5409665
07/05/2021,CO,3092088
10/19/2021,MH,20362
08/10/2021,GA,4149379
02/04/2021,PA,385313
10/17/2021,SD,465757
06/05/2021,TX,11317082
12/22/2020,TN,1308
08/15/2021,SC,2171895
11/09/2021,AK,393295
11/08/2021,VA,5476299
06/26/2021,MH,16302
04/15/2021,OH,3192292
01/07/2021,IA,3354
09/10/2021,ME,909870
11/20/2021,TN,3377773
04/13/2021,GA,1891943
07/29/2021,AS,23711
08/08/2021,IN,3037980
10/18/2021,NY,12921814
07/07/2021,NE,948135
03/02/2021,ME,134598
10/23/2021,SD,468577
06/04/2021,WA,3761632
09/27/2021,UT,1663617
11/11/2021,NH,875614
05/31/2021,OK,1454739
06/17/2021,NJ,4878476
02/04/2021,NM,109561
11/25/2021,KY,2336220
07/13/2021,AZ,3309570
07/30/2021,NE,972381
12/05/2021,AK,403512
05/09/2021,CA,15223233
02/08/2021,MO,198236
06/24/2021,MD,3409119
08/05/2021,AS,24239
04/27/2021,NY,7007731
08/08/2021,NV,1406516
07/05/2021,NH,789333
12/28/2020,WY,41
01/04/2021,MP,1
08/24/2021,UT,1541821
08/03/2021,VI,40373
04/01/2021,RI,263627
04/12/2021,TX,6616745
08/04/2021,FM,31853
03/09/2021,WY,77644
11/13/2021,CO,3614493
01/21/2021,ME,20104
07/27/2021,MN,3167114
11/28/2021,ME,974146
05/26/2021,RI,567970
08/07/2021,IN,3036301
09/14/2021,NV,1535011
10/31/2021,AL,2216816
07/14/2021,AZ,3315239
09/05/2021,MS,1216591
06/28/2021,FL,10083384
08/12/2021,PA,6672399
08/12/2021,CO,3246965
12/30/2020,FL,3851
09/25/2021,IN,3270596
08/27/2021,NJ,5508863
03/13/2021,NY,2553630
12/10/2021,AZ,4073703
07/16/2021,TN,2679779
03/26/2021,OK,761193
07/22/2021,ID,676411
05/06/2021,AR,909294
11/14/2021,MP,35178
10/02/2021,CO,3481954
01/23/2021,TX,344860
09/07/2021,TX,14313741
09/24/2021,ID,749061
12/17/2020,ND,63
05/30/2021,NE,866923
06/11/2021,NC,4392591
07/15/2021,NE,957006
12/30/2020,CA,2049
11/23/2021,MS,1401619
07/28/2021,LA,1758183
11/06/2021,ID,797077
01/27/2021,GA,113240
01/22/2021,VA,86050
08/20/2021,AR,1251734
06/08/2021,KS,1239527
12/10/2021,TX,16217259
07/08/2021,LA,1705949
07/27/2021,VA,4771402
08/09/2021,WA,4364812
06/29/2021,PR,1952461
09/07/2021,MP,33153
08/10/2021,PA,6654582
09/19/2021,MI,5209048
11/20/2021,US,195620244
01/09/2021,DC,2768
05/05/2021,NE,753322
11/22/2021,NJ,6012490
03/30/2021,CA,7397256
12/08/2021,FM,42831
05/01/2021,PA,4436461
06/19/2021,MA,4214179
09/27/2021,HI,826124
01/21/2021,KS,37819
11/03/2021,NV,1645805
11/24/2021,OH,6210625
03/15/2021,LA,634742
11/01/2021,DC,447560
12/13/2020,UT,293
10/10/2021,NY,12779166
11/30/2021,DE,603686
12/10/2021,RP,15839
02/08/2021,AS,3576
02/17/2021,MT,72475
10/14/2021,CA,23934628
01/23/2021,NM,48510
01/31/2021,US,7285517
12/03/2021,IL,7927759
05/01/2021,TX,8853669
06/23/2021,CA,19969658
05/24/2021,NJ,4335243
08/18/2021,MN,3234782
08/22/2021,MS,1145011
04/26/2021,GU,59389
10/16/2021,DE,580066
06/10/2021,MT,454701
12/09/2021,OR,2755916
01/03/2021,NH,17
03/21/2021,UT,431170
11/30/2021,NM,1339919
08/17/2021,KY,1987065
04/28/2021,GA,2695078
05/01/2021,VA,3150668
01/03/2021,IA,48
06/30/2021,US,160075134
10/02/2021,MI,5270742
08/08/2021,FL,10858113
09/28/2021,IA,1718200
05/13/2021,AK,295373
10/16/2021,NH,861994
11/15/2021,MO,3113601
08/22/2021,VT,431461
07/07/2021,CO,3103543
02/13/2021,CT,230323
04/12/2021,MI,2510195
06/23/2021,IL,6517312
11/01/2021,NE,1095308
11/10/2021,RP,15707
05/12/2021,US,128377811
06/13/2021,WA,3953501
03/17/2021,WI,890072
04/21/2021,MA,2259967
12/19/2020,DC,17
09/10/2021,MP,33323
11/14/2021,FM,41706
04/25/2021,VA,2818622
11/28/2021,MO,3141229
01/23/2021,MO,85183
02/08/2021,CO,265824
03/04/2021,CO,596153
10/27/2021,GU,121889
04/22/2021,MS,764843
07/08/2021,CT,2231199
09/15/2021,CT,2430846
02/19/2021,CA,2314947
02/25/2021,MT,99354
04/10/2021,MI,2452647
03/25/2021,AL,664834
06/21/2021,SD,398484
01/19/2021,MT,12552
03/14/2021,AS,10831
04/08/2021,TX,6074126
06/28/2021,SD,402603
05/17/2021,TN,2284376
03/14/2021,MN,845290
06/12/2021,NC,4406054
01/15/2021,PR,37881
11/16/2021,MO,3115976
01/14/2021,PR,36815
02/08/2021,AK,56177
04/09/2021,AL,885277
05/20/2021,IL,5633567
08/26/2021,NE,1012495
12/18/2020,NV,10
06/11/2021,FL,9555709
08/14/2021,KY,1976824
05/19/2021,FL,8477772
08/27/2021,CA,22286662
12/18/2020,MO,54
10/19/2021,TN,3279467
06/10/2021,MH,15361
10/18/2021,WY,253596
09/04/2021,IA,1668751
07/12/2021,DE,512686
01/24/2021,GA,75154
11/14/2021,KS,1579774
10/10/2021,AS,29800
09/07/2021,PR,2229258
05/02/2021,VT,263676
12/15/2020,ID,37
12/23/2020,IA,14
11/19/2021,WV,1249094
12/28/2020,WA,153
04/09/2021,KS,741904
07/17/2021,NE,958957
05/29/2021,AS,19679
07/20/2021,TX,12780362
02/16/2021,KY,265736
07/24/2021,ND,324807
12/12/2021,OK,2083539
10/13/2021,VI,50103
12/14/2020,IL,22
07/19/2021,TX,12760976
08/03/2021,PR,2086754
09/15/2021,AK,369515
09/19/2021,PR,2281137
05/25/2021,OR,1956296
07/13/2021,ND,320978
10/31/2021,MH,20739
01/02/2021,VT,85
05/31/2021,AK,309235
07/01/2021,VT,418374
03/24/2021,NJ,1494195
04/24/2021,KY,1378193
07/29/2021,SD,416409
09/16/2021,LA,2088312
09/27/2021,ID,751832
11/13/2021,KS,1579389
03/11/2021,ME,190662
11/19/2021,IL,7799682
02/17/2021,NV,160489
05/07/2021,NH,571619
09/15/2021,MD,3833732
11/16/2021,GA,5171275
08/06/2021,CO,3223823
04/14/2021,IA,898219
11/19/2021,AS,31351
12/01/2021,MO,3158026
11/23/2021,OR,2702024
05/10/2021,VA,3469587
02/19/2021,MD,399685
10/08/2021,NJ,5828323
02/16/2021,NV,147246
09/07/2021,KY,2086355
02/20/2021,TX,1645944
05/25/2021,AZ,2867995
12/12/2021,ID,818812
06/28/2021,TX,12283842
04/11/2021,CO,1415079
10/26/2021,MH,20553
07/25/2021,NM,1161369
05/24/2021,WV,981627
07/12/2021,GA,3953283
10/08/2021,NY,12755067
05/22/2021,VT,343012
02/21/2021,OH,787946
08/27/2021,DE,546155
10/13/2021,PR,2342617
06/14/2021,AL,1597673
03/19/2021,AR,391933
06/12/2021,TN,2513765
02/01/2021,IA,82943
05/08/2021,NM,908102
05/03/2021,WY,175194
07/28/2021,MO,2608432
11/23/2021,GU,124147
01/02/2021,FL,5385
01/24/2021,NH,18860
03/31/2021,MA,1426318
05/09/2021,MS,870376
09/01/2021,PA,6861911
01/05/2021,VI,13
01/10/2021,AL,9998
02/28/2021,IN,611636
12/31/2020,AS,0
05/25/2021,TX,10777255
03/25/2021,WY,106991
11/06/2021,WY,259946
09/10/2021,IN,3196033
10/31/2021,NE,1094575
03/13/2021,CT,537778
06/25/2021,OH,5302054
07/12/2021,FM,28050
08/05/2021,PR,2095022
06/10/2021,ID,637956
09/04/2021,SD,440000
08/02/2021,AL,1736434
06/30/2021,WI,2971589
11/11/2021,VI,51642
05/12/2021,TN,2221610
07/23/2021,OR,2380046
11/28/2021,WV,1256665
05/30/2021,RI,578012
06/28/2021,NJ,5022878
11/16/2021,TX,15783022
11/20/2021,ID,806632
01/26/2021,IL,207370
12/18/2020,MT,49
07/04/2021,MN,3097368
08/03/2021,RP,13617
09/06/2021,MA,4604182
09/29/2021,OH,5936368
02/01/2021,RI,31729
12/06/2021,OR,2744276
12/24/2020,MI,410
01/30/2021,WI,117189
11/25/2021,MO,3134137
04/15/2021,SD,273961
03/09/2021,ME,177246
01/24/2021,TN,121281
06/09/2021,PA,5992450
01/04/2021,AK,471
06/03/2021,KY,1721835
07/06/2021,NC,4626217
06/23/2021,MS,997227
02/04/2021,MD,180323
10/06/2021,MN,3422283
07/04/2021,KY,1870737
10/10/2021,AK,382883
12/21/2020,CO,270
02/01/2021,LA,122223
04/26/2021,SD,315835
04/14/2021,NJ,2578449
11/16/2021,DE,596517
11/07/2021,MP,35039
01/19/2021,AR,33645
12/29/2020,HI,310
10/09/2021,IL,7581351
02/03/2021,FL,812409
06/08/2021,MP,23795
02/27/2021,CA,3226513
04/19/2021,MH,12354
03/20/2021,KY,656127
03/21/2021,SC,707286
08/17/2021,MO,2737654
07/11/2021,TX,12591032
12/13/2020,NC,9
